Unnamed: 0,Chords,Notes_from_Degrees
1321,Gsaug1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
1322,Gsaug13b,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
1323,Gsaugmaj13b,"['""C4""', '""C#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
1324,Gsaug13bb9,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
1325,Gsaugmaj13s911s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""B4""']"
1326,Gsaugb713b9,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
1327,Gsaugmaj13,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
1328,Gsaugmaj1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
1329,Gsaug13,"['""C4""', '""C#4""', '""E4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
1330,Gsaug11b913b,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
1331,Gsaug1113b,"['""C4""', '""C#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
1332,A7,"['""C#4""', '""E4""', '""G4""', '""A4""']"
1333,Amaj7,"['""C#4""', '""E4""', '""G#4""', '""A4""']"
1334,A9,"['""C#4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1335,Amaj9,"['""C#4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1336,Amajs9,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A4""']"
1337,Ab9,"['""C#4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1338,Ab79,"['""C#4""', '""E4""', '""F#4""', '""A4""', '""B4""']"
1339,Ab7b9,"['""C#4""', '""E4""', '""F#4""', '""A4""', '""A#4""']"
1340,A7b9,"['""C#4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1341,A7sus2,"['""C#4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1342,Amaj7sus2,"['""C#4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1343,A7sus4,"['""C#4""', '""D4""', '""E4""', '""G4""', '""A4""']"
1344,Amaj7sus4,"['""C#4""', '""D4""', '""E4""', '""G#4""', '""A4""']"
1345,Aadd9,"['""C#4""', '""E4""', '""A4""', '""B4""']"
1346,Aadd11,"['""C#4""', '""D4""', '""E4""', '""A4""']"
1347,Aadd13,"['""C#4""', '""E4""', '""F#4""', '""A4""']"
1348,A11s,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1349,A11b9,"['""C#4""', '""D4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1350,Amajs911s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G#4""', '""A4""']"
1351,Ab711b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""A4""', '""A#4""']"
1352,Amaj11,"['""C#4""', '""D4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1353,Amaj911s,"['""C#4""', '""D#4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1354,A11,"['""C#4""', '""D4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1355,Ab11b9,"['""C#4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1356,A13b11b9b,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1357,A13b9,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
1358,A1311s,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1359,A13b,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1360,Amaj13b,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1361,A13bb9,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1362,Amaj13s911s,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
1363,Ab713b9,"['""C#4""', '""D4""', '""E4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1364,Amaj13,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1365,Amaj1311s,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1366,A13,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1367,A11b913b,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1368,A1113b,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1369,Amin7,"['""C4""', '""E4""', '""G4""', '""A4""']"
1370,Aminmaj7,"['""C4""', '""E4""', '""G#4""', '""A4""']"
1371,Amin9,"['""C4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1372,Aminmaj9,"['""C4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1373,Aminmajs9,"['""C4""', '""E4""', '""G#4""', '""A4""']"
1374,Aminb9,"['""C4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1375,Aminb79,"['""C4""', '""E4""', '""F#4""', '""A4""', '""B4""']"
1376,Aminb7b9,"['""C4""', '""E4""', '""F#4""', '""A4""', '""A#4""']"
1377,Amin7b9,"['""C4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1378,Amin7sus2,"['""C4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1379,Aminmaj7sus2,"['""C4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1380,Amin7sus4,"['""C4""', '""D4""', '""E4""', '""G4""', '""A4""']"
1381,Aminmaj7sus4,"['""C4""', '""D4""', '""E4""', '""G#4""', '""A4""']"
1382,Aminadd9,"['""C4""', '""E4""', '""A4""', '""B4""']"
1383,Aminadd11,"['""C4""', '""D4""', '""E4""', '""A4""']"
1384,Aminadd13,"['""C4""', '""E4""', '""F#4""', '""A4""']"
1385,Amin11s,"['""C4""', '""D#4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1386,Amin11b9,"['""C4""', '""D4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1387,Aminmajs911s,"['""C4""', '""D#4""', '""E4""', '""G#4""', '""A4""']"
1388,Aminb711b9,"['""C4""', '""D4""', '""E4""', '""F#4""', '""A4""', '""A#4""']"
1389,Aminmaj11,"['""C4""', '""D4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1390,Aminmaj911s,"['""C4""', '""D#4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1391,Amin11,"['""C4""', '""D4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1392,Aminb11b9,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1393,Amin13b11b9b,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1394,Amin13b9,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
1395,Amin1311s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1396,Amin13b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1397,Aminmaj13b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1398,Amin13bb9,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1399,Aminmaj13s911s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""']"
1400,Aminb713b9,"['""C4""', '""D4""', '""E4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1401,Aminmaj13,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1402,Aminmaj1311s,"['""C4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1403,Amin13,"['""C4""', '""D4""', '""E4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1404,Amin11b913b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1405,Amin1113b,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1406,Adim7,"['""C4""', '""D#4""', '""G4""', '""A4""']"
1407,Adimmaj7,"['""C4""', '""D#4""', '""G#4""', '""A4""']"
1408,Adim9,"['""C4""', '""D#4""', '""G4""', '""A4""', '""B4""']"
1409,Adimmaj9,"['""C4""', '""D#4""', '""G#4""', '""A4""', '""B4""']"
1410,Adimmajs9,"['""C4""', '""D#4""', '""G#4""', '""A4""']"
1411,Adimb9,"['""C4""', '""D#4""', '""G4""', '""A4""', '""A#4""']"
1412,Adimb79,"['""C4""', '""D#4""', '""F#4""', '""A4""', '""B4""']"
1413,Adimb7b9,"['""C4""', '""D#4""', '""F#4""', '""A4""', '""A#4""']"
1414,Adim7b9,"['""C4""', '""D#4""', '""G4""', '""A4""', '""A#4""']"
1415,Adim7sus2,"['""C4""', '""D#4""', '""E4""', '""G4""', '""A4""', '""B4""']"
1416,Adimmaj7sus2,"['""C4""', '""D#4""', '""E4""', '""G#4""', '""A4""', '""B4""']"
1417,Adim7sus4,"['""C4""', '""D4""', '""D#4""', '""E4""', '""G4""', '""A4""']"
1418,Adimmaj7sus4,"['""C4""', '""D4""', '""D#4""', '""E4""', '""G#4""', '""A4""']"
1419,Adimadd9,"['""C4""', '""D#4""', '""A4""', '""B4""']"
1420,Adimadd11,"['""C4""', '""D4""', '""D#4""', '""A4""']"
1421,Adimadd13,"['""C4""', '""D#4""', '""F#4""', '""A4""']"
1422,Adim11s,"['""C4""', '""D#4""', '""G4""', '""A4""', '""B4""']"
1423,Adim11b9,"['""C4""', '""D4""', '""D#4""', '""G4""', '""A4""', '""A#4""']"
1424,Adimmajs911s,"['""C4""', '""D#4""', '""G#4""', '""A4""']"
1425,Adimb711b9,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""A4""', '""A#4""']"
1426,Adimmaj11,"['""C4""', '""D4""', '""D#4""', '""G#4""', '""A4""', '""B4""']"
1427,Adimmaj911s,"['""C4""', '""D#4""', '""G#4""', '""A4""', '""B4""']"
1428,Adim11,"['""C4""', '""D4""', '""D#4""', '""G4""', '""A4""', '""B4""']"
1429,Adimb11b9,"['""C4""', '""C#4""', '""D#4""', '""G4""', '""A4""', '""A#4""']"
1430,Adim13b11b9b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1431,Adim13b9,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
1432,Adim1311s,"['""C4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1433,Adim13b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1434,Adimmaj13b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1435,Adim13bb9,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1436,Adimmaj13s911s,"['""C4""', '""D#4""', '""F#4""', '""G#4""', '""A4""']"
1437,Adimb713b9,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1438,Adimmaj13,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1439,Adimmaj1311s,"['""C4""', '""D#4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1440,Adim13,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1441,Adim11b913b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1442,Adim1113b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1443,Aaug7,"['""C#4""', '""F4""', '""G4""', '""A4""']"
1444,Aaugmaj7,"['""C#4""', '""F4""', '""G#4""', '""A4""']"
1445,Aaug9,"['""C#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1446,Aaugmaj9,"['""C#4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1447,Aaugmajs9,"['""C4""', '""C#4""', '""F4""', '""G#4""', '""A4""']"
1448,Aaugb9,"['""C#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1449,Aaugb79,"['""C#4""', '""F4""', '""F#4""', '""A4""', '""B4""']"
1450,Aaugb7b9,"['""C#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1451,Aaug7b9,"['""C#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1452,Aaug7sus2,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1453,Aaugmaj7sus2,"['""C#4""', '""E4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1454,Aaug7sus4,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""']"
1455,Aaugmaj7sus4,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A4""']"
1456,Aaugadd9,"['""C#4""', '""F4""', '""A4""', '""B4""']"
1457,Aaugadd11,"['""C#4""', '""D4""', '""F4""', '""A4""']"
1458,Aaugadd13,"['""C#4""', '""F4""', '""F#4""', '""A4""']"
1459,Aaug11s,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1460,Aaug11b9,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1461,Aaugmajs911s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G#4""', '""A4""']"
1462,Aaugb711b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1463,Aaugmaj11,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1464,Aaugmaj911s,"['""C#4""', '""D#4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1465,Aaug11,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1466,Aaugb11b9,"['""C#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1467,Aaug13b11b9b,"['""C#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1468,Aaug13b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G4""', '""A4""', '""A#4""']"
1469,Aaug1311s,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1470,Aaug13b,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1471,Aaugmaj13b,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""A4""', '""B4""']"
1472,Aaug13bb9,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1473,Aaugmaj13s911s,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
1474,Aaugb713b9,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1475,Aaugmaj13,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1476,Aaugmaj1311s,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""', '""B4""']"
1477,Aaug13,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G4""', '""A4""', '""B4""']"
1478,Aaug11b913b,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1479,Aaug1113b,"['""C#4""', '""D4""', '""F4""', '""G4""', '""A4""', '""B4""']"
1480,As7,"['""D4""', '""F4""', '""G#4""', '""A#4""']"
1481,Asmaj7,"['""D4""', '""F4""', '""A4""', '""A#4""']"
1482,As9,"['""C4""', '""D4""', '""F4""', '""G#4""', '""A#4""']"
1483,Asmaj9,"['""C4""', '""D4""', '""F4""', '""A4""', '""A#4""']"
1484,Asmajs9,"['""C#4""', '""D4""', '""F4""', '""A4""', '""A#4""']"
1485,Asb9,"['""D4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1486,Asb79,"['""C4""', '""D4""', '""F4""', '""G4""', '""A#4""']"
1487,Asb7b9,"['""D4""', '""F4""', '""G4""', '""A#4""', '""B4""']"
1488,As7b9,"['""D4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1489,As7sus2,"['""C4""', '""D4""', '""F4""', '""G#4""', '""A#4""']"
1490,Asmaj7sus2,"['""C4""', '""D4""', '""F4""', '""A4""', '""A#4""']"
1491,As7sus4,"['""D4""', '""D#4""', '""F4""', '""G#4""', '""A#4""']"
1492,Asmaj7sus4,"['""D4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
1493,Asadd9,"['""C4""', '""D4""', '""F4""', '""A#4""']"
1494,Asadd11,"['""D4""', '""D#4""', '""F4""', '""A#4""']"
1495,Asadd13,"['""D4""', '""F4""', '""G4""', '""A#4""']"
1496,As11s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
1497,As11b9,"['""D4""', '""D#4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1498,Asmajs911s,"['""C#4""', '""D4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
1499,Asb711b9,"['""D4""', '""D#4""', '""F4""', '""G4""', '""A#4""', '""B4""']"
1500,Asmaj11,"['""C4""', '""D4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
1501,Asmaj911s,"['""C4""', '""D4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
1502,As11,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G#4""', '""A#4""']"
1503,Asb11b9,"['""D4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1504,As13b11b9b,"['""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1505,As13b9,"['""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
1506,As1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
1507,As13b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
1508,Asmaj13b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1509,As13bb9,"['""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1510,Asmaj13s911s,"['""C#4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1511,Asb713b9,"['""D4""', '""D#4""', '""F4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
1512,Asmaj13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1513,Asmaj1311s,"['""C4""', '""D4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1514,As13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
1515,As11b913b,"['""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1516,As1113b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
1517,Asmin7,"['""C#4""', '""F4""', '""G#4""', '""A#4""']"
1518,Asminmaj7,"['""C#4""', '""F4""', '""A4""', '""A#4""']"
1519,Asmin9,"['""C4""', '""C#4""', '""F4""', '""G#4""', '""A#4""']"
1520,Asminmaj9,"['""C4""', '""C#4""', '""F4""', '""A4""', '""A#4""']"
1521,Asminmajs9,"['""C#4""', '""F4""', '""A4""', '""A#4""']"
1522,Asminb9,"['""C#4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1523,Asminb79,"['""C4""', '""C#4""', '""F4""', '""G4""', '""A#4""']"
1524,Asminb7b9,"['""C#4""', '""F4""', '""G4""', '""A#4""', '""B4""']"
1525,Asmin7b9,"['""C#4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1526,Asmin7sus2,"['""C4""', '""C#4""', '""F4""', '""G#4""', '""A#4""']"
1527,Asminmaj7sus2,"['""C4""', '""C#4""', '""F4""', '""A4""', '""A#4""']"
1528,Asmin7sus4,"['""C#4""', '""D#4""', '""F4""', '""G#4""', '""A#4""']"
1529,Asminmaj7sus4,"['""C#4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
1530,Asminadd9,"['""C4""', '""C#4""', '""F4""', '""A#4""']"
1531,Asminadd11,"['""C#4""', '""D#4""', '""F4""', '""A#4""']"
1532,Asminadd13,"['""C#4""', '""F4""', '""G4""', '""A#4""']"
1533,Asmin11s,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
1534,Asmin11b9,"['""C#4""', '""D#4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1535,Asminmajs911s,"['""C#4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
1536,Asminb711b9,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""A#4""', '""B4""']"
1537,Asminmaj11,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""A4""', '""A#4""']"
1538,Asminmaj911s,"['""C4""', '""C#4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
1539,Asmin11,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G#4""', '""A#4""']"
1540,Asminb11b9,"['""C#4""', '""D4""', '""F4""', '""G#4""', '""A#4""', '""B4""']"
1541,Asmin13b11b9b,"['""C#4""', '""D4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1542,Asmin13b9,"['""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
1543,Asmin1311s,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
1544,Asmin13b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
1545,Asminmaj13b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
1546,Asmin13bb9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1547,Asminmaj13s911s,"['""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1548,Asminb713b9,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
1549,Asminmaj13,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1550,Asminmaj1311s,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G4""', '""A4""', '""A#4""']"
1551,Asmin13,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""G4""', '""G#4""', '""A#4""']"
1552,Asmin11b913b,"['""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1553,Asmin1113b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
1554,Asdim7,"['""C#4""', '""E4""', '""G#4""', '""A#4""']"
1555,Asdimmaj7,"['""C#4""', '""E4""', '""A4""', '""A#4""']"
1556,Asdim9,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A#4""']"
1557,Asdimmaj9,"['""C4""', '""C#4""', '""E4""', '""A4""', '""A#4""']"
1558,Asdimmajs9,"['""C#4""', '""E4""', '""A4""', '""A#4""']"
1559,Asdimb9,"['""C#4""', '""E4""', '""G#4""', '""A#4""', '""B4""']"
1560,Asdimb79,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A#4""']"
1561,Asdimb7b9,"['""C#4""', '""E4""', '""G4""', '""A#4""', '""B4""']"
1562,Asdim7b9,"['""C#4""', '""E4""', '""G#4""', '""A#4""', '""B4""']"
1563,Asdim7sus2,"['""C4""', '""C#4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
1564,Asdimmaj7sus2,"['""C4""', '""C#4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
1565,Asdim7sus4,"['""C#4""', '""D#4""', '""E4""', '""F4""', '""G#4""', '""A#4""']"
1566,Asdimmaj7sus4,"['""C#4""', '""D#4""', '""E4""', '""F4""', '""A4""', '""A#4""']"
1567,Asdimadd9,"['""C4""', '""C#4""', '""E4""', '""A#4""']"
1568,Asdimadd11,"['""C#4""', '""D#4""', '""E4""', '""A#4""']"
1569,Asdimadd13,"['""C#4""', '""E4""', '""G4""', '""A#4""']"
1570,Asdim11s,"['""C4""', '""C#4""', '""E4""', '""G#4""', '""A#4""']"
1571,Asdim11b9,"['""C#4""', '""D#4""', '""E4""', '""G#4""', '""A#4""', '""B4""']"
1572,Asdimmajs911s,"['""C#4""', '""E4""', '""A4""', '""A#4""']"
1573,Asdimb711b9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""A#4""', '""B4""']"
1574,Asdimmaj11,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""A4""', '""A#4""']"
1575,Asdimmaj911s,"['""C4""', '""C#4""', '""E4""', '""A4""', '""A#4""']"
1576,Asdim11,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G#4""', '""A#4""']"
1577,Asdimb11b9,"['""C#4""', '""D4""', '""E4""', '""G#4""', '""A#4""', '""B4""']"
1578,Asdim13b11b9b,"['""C#4""', '""D4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1579,Asdim13b9,"['""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""A#4""', '""B4""']"
1580,Asdim1311s,"['""C4""', '""C#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
1581,Asdim13b,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
1582,Asdimmaj13b,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""A4""', '""A#4""']"
1583,Asdim13bb9,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1584,Asdimmaj13s911s,"['""C#4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1585,Asdimb713b9,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
1586,Asdimmaj13,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1587,Asdimmaj1311s,"['""C4""', '""C#4""', '""E4""', '""G4""', '""A4""', '""A#4""']"
1588,Asdim13,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""G4""', '""G#4""', '""A#4""']"
1589,Asdim11b913b,"['""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1590,Asdim1113b,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
1591,Asaug7,"['""D4""', '""F#4""', '""G#4""', '""A#4""']"
1592,Asaugmaj7,"['""D4""', '""F#4""', '""A4""', '""A#4""']"
1593,Asaug9,"['""C4""', '""D4""', '""F#4""', '""G#4""', '""A#4""']"
1594,Asaugmaj9,"['""C4""', '""D4""', '""F#4""', '""A4""', '""A#4""']"
1595,Asaugmajs9,"['""C#4""', '""D4""', '""F#4""', '""A4""', '""A#4""']"
1596,Asaugb9,"['""D4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
1597,Asaugb79,"['""C4""', '""D4""', '""F#4""', '""G4""', '""A#4""']"
1598,Asaugb7b9,"['""D4""', '""F#4""', '""G4""', '""A#4""', '""B4""']"
1599,Asaug7b9,"['""D4""', '""F#4""', '""G#4""', '""A#4""', '""B4""']"
