Unnamed: 0,Chords,Notes_from_Degrees
86,Cdimmaj7sus4,"['""C4""', '""D#4""', '""F4""', '""F#4""', '""G4""', '""B4""']"
87,Cdimadd9,"['""C4""', '""D4""', '""D#4""', '""F#4""']"
88,Cdimadd11,"['""C4""', '""D#4""', '""F4""', '""F#4""']"
89,Cdimadd13,"['""C4""', '""D#4""', '""F#4""', '""A4""']"
90,Cdim11s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""A#4""']"
91,Cdim11b9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A#4""']"
92,Cdimmajs911s,"['""C4""', '""D#4""', '""F#4""', '""B4""']"
93,Cdimb711b9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""']"
94,Cdimmaj11,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""B4""']"
95,Cdimmaj911s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""B4""']"
96,Cdim11,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A#4""']"
97,Cdimb11b9,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""A#4""']"
98,Cdim13b11b9b,"['""C4""', '""C#4""', '""D#4""', '""E4""', '""F#4""', '""G#4""', '""A#4""']"
99,Cdim13b9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
100,Cdim1311s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""A4""', '""A#4""']"
101,Cdim13b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
102,Cdimmaj13b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""B4""']"
103,Cdim13bb9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
104,Cdimmaj13s911s,"['""C4""', '""D#4""', '""F#4""', '""A4""', '""B4""']"
105,Cdimb713b9,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A4""']"
106,Cdimmaj13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""B4""']"
107,Cdimmaj1311s,"['""C4""', '""D4""', '""D#4""', '""F#4""', '""A4""', '""B4""']"
108,Cdim13,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""A4""', '""A#4""']"
109,Cdim11b913b,"['""C4""', '""C#4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
110,Cdim1113b,"['""C4""', '""D4""', '""D#4""', '""F4""', '""F#4""', '""G#4""', '""A#4""']"
111,Caug7,"['""C4""', '""E4""', '""G#4""', '""A#4""']"
